run_dir,manifest.run_id,manifest.pipeline,anomaly.detection_delay.detected,anomaly.detection_delay.mean,anomaly.detection_delay.median,anomaly.detection_delay.missed,anomaly.false_alarm_rate_per_1000,anomaly.test.f1,anomaly.test.precision,anomaly.test.recall,anomaly.threshold,anomaly.threshold_free.average_precision,anomaly.threshold_free.roc_auc,anomaly.threshold_free.vus_pr,anomaly.threshold_free.vus_roc,anomaly.threshold_strategy,anomaly.validation.f1,anomaly.validation.precision,anomaly.validation.recall,forecast.channelwise_crps,forecast.diagnostics.active_components_1pct,forecast.diagnostics.component_mean_weights,forecast.diagnostics.effective_components,forecast.diagnostics.entropy_max,forecast.diagnostics.entropy_mean,forecast.diagnostics.entropy_min,forecast.diagnostics.mean_pairwise_distance,forecast.diagnostics.normalized_entropy_mean,forecast.diagnostics.std.max,forecast.diagnostics.std.mean,forecast.diagnostics.std.median,forecast.diagnostics.std.min,forecast.diagnostics.std.p05,forecast.diagnostics.std.p95,forecast.energy_score,forecast.interval_coverage_90,forecast.mae,forecast.nll,forecast.rmse,manifest.dataset,manifest.notes,manifest.seed,regime.adjusted_rand_index,regime.confusion,regime.false_switch_rate_per_1000,regime.label_mapping.0,regime.label_mapping.1
runs\smd_threshold_gpu\smd-joint-threshold-max-f1-gpu,smd-joint-threshold-max-f1-gpu,smd-joint,6,42.833333333333336,48.0,22,0.05591902924565229,0.0495092883772906,0.9375,0.025426016992686255,7823.38020217629,0.2586717081418794,0.8281646081612165,0.19659264370598342,0.7273715979092045,max_validation_f1,1.0,1.0,1.0,8.673546879281377,3,"[0.5809404091898615, 0.25664177548962147, 0.16241781532051996]",2.611102531462402,1.0984785119730676,0.5883897021796621,0.23514060549529087,3.3220969813389933,0.5355753874672107,2.7026586532592773,0.6643404894936087,0.5808552801609039,0.004533553496003151,0.02365434356033802,1.6080549359321588,223.02488013806126,0.8714015125137533,8.779983082908787,166210611.92735934,2189.304046401978,smd,Selected-machine SMD joint benchmark with validation-F1 threshold,702,0.0,[[18895]],0.0,,0
runs\smd_threshold_gpu\smd-joint-threshold-q95-gpu,smd-joint-threshold-q95-gpu,smd-joint,24,1.5,0.0,4,39.366996588939216,0.10329396200403641,0.05677258132616258,0.5720563921802312,8.866398362544837,0.2586717081418794,0.8281646081612165,0.19659264370598342,0.7273715979092045,validation_quantile_95,0.0,0.0,0.0,8.673546879281377,3,"[0.5809404091898615, 0.25664177548962147, 0.16241781532051996]",2.611102531462402,1.0984785119730676,0.5883897021796621,0.23514060549529087,3.3220969813389933,0.5355753874672107,2.7026586532592773,0.6643404894936087,0.5808552801609039,0.004533553496003151,0.02365434356033802,1.6080549359321588,223.02488013806126,0.8714015125137533,8.779983082908787,166210611.92735934,2189.304046401978,smd,Selected-machine SMD joint benchmark with validation 95th percentile threshold,702,0.0,[[18895]],0.0,,0
runs\smd_threshold_gpu\smd-joint-threshold-q99-gpu,smd-joint-threshold-q99-gpu,smd-joint,17,4.411764705882353,0.0,11,9.22663982553263,0.2508804604753001,0.25557766651742664,0.24635279630546572,80.0099172632715,0.2586717081418794,0.8281646081612165,0.19659264370598342,0.7273715979092045,validation_quantile_99,0.0,0.0,0.0,8.673546879281377,3,"[0.5809404091898615, 0.25664177548962147, 0.16241781532051996]",2.611102531462402,1.0984785119730676,0.5883897021796621,0.23514060549529087,3.3220969813389933,0.5355753874672107,2.7026586532592773,0.6643404894936087,0.5808552801609039,0.004533553496003151,0.02365434356033802,1.6080549359321588,223.02488013806126,0.8714015125137533,8.779983082908787,166210611.92735934,2189.304046401978,smd,Selected-machine SMD joint benchmark with validation 99th percentile threshold,702,0.0,[[18895]],0.0,,0
runs\smd_threshold_gpu\smd-joint-threshold-recall50-gpu,smd-joint-threshold-recall50-gpu,smd-joint,24,1.5,0.0,4,39.366996588939216,0.10329396200403641,0.05677258132616258,0.5720563921802312,8.866398362544837,0.2586717081418794,0.8281646081612165,0.19659264370598342,0.7273715979092045,target_recall_50,0.0,0.0,0.0,8.673546879281377,3,"[0.5809404091898615, 0.25664177548962147, 0.16241781532051996]",2.611102531462402,1.0984785119730676,0.5883897021796621,0.23514060549529087,3.3220969813389933,0.5355753874672107,2.7026586532592773,0.6643404894936087,0.5808552801609039,0.004533553496003151,0.02365434356033802,1.6080549359321588,223.02488013806126,0.8714015125137533,8.779983082908787,166210611.92735934,2189.304046401978,smd,Selected-machine SMD joint benchmark with validation target-recall-50 threshold,702,0.0,[[18895]],0.0,,0
runs\smd_threshold_gpu\smd-joint-threshold-recall70-gpu,smd-joint-threshold-recall70-gpu,smd-joint,26,0.9615384615384616,0.0,2,40.597215232343565,0.10769054148671604,0.058601587602457726,0.6634163458660363,7.7849950887784996,0.2586717081418794,0.8281646081612165,0.19659264370598342,0.7273715979092045,target_recall_70,0.0,0.0,0.0,8.673546879281377,3,"[0.5809404091898615, 0.25664177548962147, 0.16241781532051996]",2.611102531462402,1.0984785119730676,0.5883897021796621,0.23514060549529087,3.3220969813389933,0.5355753874672107,2.7026586532592773,0.6643404894936087,0.5808552801609039,0.004533553496003151,0.02365434356033802,1.6080549359321588,223.02488013806126,0.8714015125137533,8.779983082908787,166210611.92735934,2189.304046401978,smd,Selected-machine SMD joint benchmark with validation target-recall-70 threshold,702,0.0,[[18895]],0.0,,0
runs\smd_threshold_gpu\smd-mdn-threshold-max-f1-gpu,smd-mdn-threshold-max-f1-gpu,smd-mdn,6,44.333333333333336,52.5,22,0.05591902924565229,0.03984753242748509,0.9411764705882353,0.020354653915081115,35548.72023021569,0.2060223216559629,0.8164943841159897,0.2075565544292436,0.7217940425168523,max_validation_f1,1.0,1.0,1.0,8.672288501704541,3,"[0.4336967841862724, 0.1460667928031622, 0.420236423010566]",2.7390762726912277,1.0985798732934202,0.8421773986958793,0.4149143916307093,2.6654472813467525,0.7665829040715388,2.1049633026123047,0.5635008199404404,0.4380870908498764,0.0048972321674227715,0.011338008288294076,1.5048699438571926,223.06407669242466,0.878437626216905,8.773132130680729,205792931.32964712,2189.3039638238197,smd,Selected-machine SMD MDN benchmark with validation-F1 threshold,703,1.0,[[18895]],0.0,0,
runs\smd_threshold_gpu\smd-mdn-threshold-q95-gpu,smd-mdn-threshold-q95-gpu,smd-mdn,24,1.0833333333333333,0.0,4,29.24565229547615,0.12624068896590523,0.07024335895870264,0.6224590768708415,9.886305479268088,0.2060223216559629,0.8164943841159897,0.2075565544292436,0.7217940425168523,validation_quantile_95,0.0,0.0,0.0,8.672288501704541,3,"[0.4336967841862724, 0.1460667928031622, 0.420236423010566]",2.7390762726912277,1.0985798732934202,0.8421773986958793,0.4149143916307093,2.6654472813467525,0.7665829040715388,2.1049633026123047,0.5635008199404404,0.4380870908498764,0.0048972321674227715,0.011338008288294076,1.5048699438571926,223.06407669242466,0.878437626216905,8.773132130680729,205792931.32964712,2189.3039638238197,smd,Selected-machine SMD MDN benchmark with validation 95th percentile threshold,703,1.0,[[18895]],0.0,0,
runs\smd_threshold_gpu\smd-mdn-threshold-q99-gpu,smd-mdn-threshold-q99-gpu,smd-mdn,16,2.75,0.0,12,6.654364480232623,0.2984976996770173,0.3044023101660949,0.2928177984851355,84.586756962652,0.2060223216559629,0.8164943841159897,0.2075565544292436,0.7217940425168523,validation_quantile_99,0.0,0.0,0.0,8.672288501704541,3,"[0.4336967841862724, 0.1460667928031622, 0.420236423010566]",2.7390762726912277,1.0985798732934202,0.8421773986958793,0.4149143916307093,2.6654472813467525,0.7665829040715388,2.1049633026123047,0.5635008199404404,0.4380870908498764,0.0048972321674227715,0.011338008288294076,1.5048699438571926,223.06407669242466,0.878437626216905,8.773132130680729,205792931.32964712,2189.3039638238197,smd,Selected-machine SMD MDN benchmark with validation 99th percentile threshold,703,1.0,[[18895]],0.0,0,
runs\smd_threshold_gpu\smd-mdn-threshold-recall50-gpu,smd-mdn-threshold-recall50-gpu,smd-mdn,24,1.0833333333333333,0.0,4,29.24565229547615,0.12624068896590523,0.07024335895870264,0.6224590768708415,9.886305479268088,0.2060223216559629,0.8164943841159897,0.2075565544292436,0.7217940425168523,target_recall_50,0.0,0.0,0.0,8.672288501704541,3,"[0.4336967841862724, 0.1460667928031622, 0.420236423010566]",2.7390762726912277,1.0985798732934202,0.8421773986958793,0.4149143916307093,2.6654472813467525,0.7665829040715388,2.1049633026123047,0.5635008199404404,0.4380870908498764,0.0048972321674227715,0.011338008288294076,1.5048699438571926,223.06407669242466,0.878437626216905,8.773132130680729,205792931.32964712,2189.3039638238197,smd,Selected-machine SMD MDN benchmark with validation target-recall-50 threshold,703,1.0,[[18895]],0.0,0,
runs\smd_threshold_gpu\smd-mdn-threshold-recall70-gpu,smd-mdn-threshold-recall70-gpu,smd-mdn,25,0.6,0.0,3,31.14689928982833,0.11664727964579419,0.06388378863886514,0.670114272552353,9.215046973516372,0.2060223216559629,0.8164943841159897,0.2075565544292436,0.7217940425168523,target_recall_70,0.0,0.0,0.0,8.672288501704541,3,"[0.4336967841862724, 0.1460667928031622, 0.420236423010566]",2.7390762726912277,1.0985798732934202,0.8421773986958793,0.4149143916307093,2.6654472813467525,0.7665829040715388,2.1049633026123047,0.5635008199404404,0.4380870908498764,0.0048972321674227715,0.011338008288294076,1.5048699438571926,223.06407669242466,0.878437626216905,8.773132130680729,205792931.32964712,2189.3039638238197,smd,Selected-machine SMD MDN benchmark with validation target-recall-70 threshold,703,1.0,[[18895]],0.0,0,
